메뉴,식사시간,날짜,식당,타입
만두비빔야채. 알감자버터구이. 순살닭떡매콤조림. 백미밥. 호박된장국. 열무겉절이. 포기김치,lunch,2023-11-27,금정회관-교직원,
순대매콤볶음. 잡곡밥. 어묵국. 상추겉절이. 포기김치. 지파이치킨가스소스,lunch,2023-11-28,금정회관-교직원,
돈육김치찜. 홍합탕. 백미밥. 후랑크햄옥수수콘볶음. 맛초킹소스튀김. 콩나물무침. 두부. 포기김치,lunch,2023-11-29,금정회관-교직원,
감자탕. 모듬잡채. 잡곡밥. 볼어묵매콤조림. 청경채겉절이. 포기김치. 생선가스청양마요소스,lunch,2023-11-30,금정회관-교직원,
돈육바싹불고기. 쫄면야채무침. 순두부짬뽕국. 백미밥. 계란후라이. 참나물겉절이. 포기김치,lunch,2023-12-01,금정회관-교직원,
