메뉴,식사시간,날짜,식당,타입
마카로니햄볶음. 완자어묵마라소스볶음. 충무식두부국. 백미밥. 콩나물무침. 김치,lunch,2023-11-27,샛별회관,일반
조랭이떡국. 볶음우동. 떡갈비. 백미밥. 유채겉절이. 김치,dinner,2023-11-27,샛별회관,
돈육김치볶음. 육개장. 군만두초간장. 비엔나소세지볶음. 백미밥. 상추쌈쌈장. 김치,lunch,2023-11-28,샛별회관,일반
짬뽕국. 떡볶이. 돈육춘장볶음. 새송이어묵볶음. 백미밥. 두부전간장. 김치,dinner,2023-11-28,샛별회관,
탕수육. 버섯잡채. 두부김치조림. 백미밥. 양념깻잎. 김치. 사골우거지국,lunch,2023-11-29,샛별회관,일반
볶은짬뽕면. 김치만두국. 계란장조림. 백미밥. 류산슬. 요구르트. 김치,dinner,2023-11-29,샛별회관,
짜장떡볶이. 감자베이컨샐러드. 청양풍어묵볶음. 백미밥. 콩나물국. 김치. 돈가스소스,lunch,2023-11-30,샛별회관,일반
함박스테이크조림. 카레. 콩나물햄볶음. 백미밥. 버섯튀김간장. 시락국. 김치,dinner,2023-11-30,샛별회관,
볶은짬뽕면. 제육볶음. 두부된장국. 알감자조림. 백미밥. 김구이간장. 김치,lunch,2023-12-01,샛별회관,일반
